DMU;ID ;year;Bank;Bank code;Listed;Type;Islamic;ES;ES2;Cost2Inc;DepSTFund;Equity;Eq2Assets;FixAssets;GLoans;NPL2GL;LoanLP;Loans;NetFeeCom;NetIntRev;Branches;Employees;OthOpExp;OthOpInc;Overhead;PerExp;ROAA;ROAE;Assets;LnAssets;BusinessVol;EarnAssets;Funding;IntExp;NonIntExp;NonIntOpInc;OthEarnAssets;ExRate;Unit;GDPG;GDPC ;LnGDPC;GDPGC;PCDGDP;ICP;IGDPD;ETU;PAU;TRU;EXU;CSU;LDU;PCU;FSU;SQU;SCU;ETW;PAW;TRW;EXW;CSW;LDW;PCW;FSW;SQW;SCW;DomPrivOwnAssets;ForOwnAssets;GovOwnAssets;DomPrivOwnLoans;ForOwnLoans;GovOwnLoans;DomPrivOwnDeposits;ForOwnDeposits;GovOwnDeposits;BankCon;BankZsc;avelf;lat_abst;Legor;legor_uk;legor_fr;EFI;PP;CI;EconFree;PR;FC;FisF;GS;BF;LF;MF;TF;IF;FinF;LoanLossRatio;IndepYear;Indep;Religion;W-House;W-Senate
Banque Nationale de Développement Agricole - BNDA/2009;21;2009;Banque Nationale de Développement Agricole - BNDA;119;0;CB;0;0,226;0,211;0,583;295,08;46,947;0,126;19,384;195,978;;4,815;195,978;3,709;20,868;;;10,145;7,649;16,614;6,468;0,012;0,081;373,163;5,922;183940,1;320,511;295,08;4,222;16,614;7,649;103,861;472,19;1;0,045;601,26;6,399;0,013;0,169;0,022;0,035;3,125;3,889;7,848;1,667;2;3,125;3,125;0;3,75;3,17;3,125;4,643;7,917;0,833;2,778;3,75;4,167;0;2,857;3,341;0,07;0,77;0,16;0,07;0,79;0,15;0,06;0,79;0,15;0,642;21,972;0,809;0,19;French;0;1;6,13;0;;55,6;30;27;69,4;81,4;42,2;63,8;79,6;73;50;40;0,025;1960;#REF!;1;0,1;
Banque Nationale de Développement Agricole - BNDA/2010;21;2010;Banque Nationale de Développement Agricole - BNDA;119;0;CB;0;0,238;0,226;0,518;340,528;50,006;0,118;17,92;228,572;;8,946;228,572;4,057;21,156;;269;10,987;13,409;17,899;6,912;0,018;0,151;422,335;6,046;232603,9;371,266;340,528;5,419;17,899;13,409;118,727;495,28;1;0,058;613,04;6,418;0,026;0,174;0,011;0,042;3,125;3,889;7,848;1,667;2;3,125;3,125;0;3,75;3,17;3,125;4,643;7,917;0,833;2,778;3,75;4,167;0;2,857;3,341;0,07;0,77;0,16;0,07;0,79;0,15;0,06;0,79;0,15;0,642;21,816;0,809;0,19;French;0;1;6,09;0;;55,6;35;31;60,2;81,1;47,5;67,9;73,8;69,6;50;40;0,039;1960;#REF!;1;0,1;
Ecobank Mali/2005;21;2005;Ecobank Mali;120;0;CB;0;0,329;0,176;0,525;123,736;13,981;0,098;3,663;67,397;0,203;1,243;64,084;4,444;5,666;;140;4,77;9,287;7,852;3,082;0,03;0,308;142,69;4,961;87369,7;115,735;123,736;1,372;7,852;9,287;51,65;527,47;1;0,061;402,63;5,998;0,028;0,183;0,064;0,024;3,125;3,889;7,848;1,667;2;3,125;3,125;0;3,75;3,17;3,125;4,643;7,917;0,833;2,778;3,75;4,167;0;2,857;3,341;0,02;0,63;0,35;0,02;0,61;0,37;0,02;0,63;0,35;0,642;24,111;0,809;0,19;French;0;1;6,03;0;;57,3;30;30;70;83;70;63,3;84,2;62,2;50;30;0,018;1960;#REF!;1;0,1;
Ecobank Mali/2006;21;2006;Ecobank Mali;120;0;CB;0;0,356;0,276;0,483;171,638;17,809;0,09;3,879;123,855;0,14;1,128;119,992;5,236;6,932;;154;5,603;11,366;8,832;3,229;0,032;0,341;196,995;5,283;125415,7;179,667;171,638;2,268;8,832;11,366;59,675;522,89;1;0,053;431,56;6,067;0,021;0,174;0,015;0,041;3,125;3,889;7,848;1,667;2;3,125;3,125;0;3,75;3,17;3,125;4,643;7,917;0,833;2,778;3,75;4,167;0;2,857;3,341;0,03;0,63;0,34;0,02;0,62;0,36;0,03;0,66;0,31;0,642;22,991;0,809;0,19;French;0;1;6,34;0;;54,1;30;32;69,7;84,8;35,3;64;81,2;63,8;50;30;0,009;1960;#REF!;1;0,1;
Ecobank Mali/2007;21;2007;Ecobank Mali;120;0;CB;0;0,334;0,253;0,468;225,113;34,34;0,128;6,815;158,699;0,247;0,945;155,124;7,111;10,949;14;205;7,302;13,612;11,497;4,195;0,034;0,304;267,721;5,59;163440,3;213,764;225,113;3,626;11,497;13,612;58,641;479,27;1;0,043;601,26;6,399;0,011;0,173;0,014;0,071;3,125;3,889;7,848;1,667;2;3,125;3,125;0;3,75;3,17;3,125;4,643;7,917;0,833;2,778;3,75;4,167;0;2,857;3,341;0,03;0,78;0,19;0,04;0,76;0,2;0,03;0,67;0,3;0,785;30,479;0,809;0,19;French;0;1;6,38;0;;54,7;30;29;69,3;81,3;38,1;62,5;78,4;68,6;50;40;0,006;1960;#REF!;1;0,1;
Ecobank Mali/2008;21;2008;Ecobank Mali;120;0;CB;0;0,264;0,18;0,587;310,505;38,279;0,106;14,613;193,74;0,133;0,785;192,885;9,778;14,545;35;270;12,568;19,061;19,737;7,169;0,028;0,239;360,966;5,889;203992;271,527;310,505;5,791;19,737;19,061;78,642;447,81;1;0,05;604,29;6,404;0,018;0,17;0,092;0,088;3,125;3,889;7,848;1,667;2;3,125;3,125;0;3,75;3,17;3,125;4,643;7,917;0,833;2,778;3,75;4,167;0;2,857;3,341;0,05;0,79;0,17;0,05;0,79;0,17;0,04;0,82;0,14;0,785;25,126;0,809;0,19;French;0;1;6,04;0;;55,6;30;28;69,3;81,5;42,1;66;79,9;68,6;50;40;0,004;1960;#REF!;1;0,1;
Ecobank Mali/2009;21;2009;Ecobank Mali;120;0;CB;0;0,291;0,194;0,614;411,846;37,586;0,081;17,388;230,118;0,112;1,809;228,274;11,377;17,652;;;14,86;19,907;23,064;8,204;0,021;0,23;465,995;6,144;220036,5;418,125;411,846;4,98;23,064;19,907;189,852;472,19;1;0,045;601,26;6,399;0,013;0,169;0,022;0,035;3,125;3,889;7,848;1,667;2;3,125;3,125;0;3,75;3,17;3,125;4,643;7,917;0,833;2,778;3,75;4,167;0;2,857;3,341;0,07;0,77;0,16;0,07;0,79;0,15;0,06;0,79;0,15;0,785;19,123;0,809;0,19;French;0;1;6,13;0;;55,6;30;27;69,4;81,4;42,2;63,8;79,6;73;50;40;0,008;1960;#REF!;1;0,1;
Ecobank Mali/2010;21;2010;Ecobank Mali;120;0;CB;0;0,348;0,171;0,615;469,293;38,8;0,074;17,842;233,172;0,102;2,42;230,006;15,818;17,959;;;18,144;25,354;26,617;8,473;0,022;0,284;527,032;6,267;314029,8;484,341;469,293;6,076;26,617;25,354;254,335;495,28;1;0,058;613,04;6,418;0,026;0,174;0,011;0,042;3,125;3,889;7,848;1,667;2;3,125;3,125;0;3,75;3,17;3,125;4,643;7,917;0,833;2,778;3,75;4,167;0;2,857;3,341;0,07;0,77;0,16;0,07;0,79;0,15;0,06;0,79;0,15;0,785;17,932;0,809;0,19;French;0;1;6,09;0;;55,6;35;31;60,2;81,1;47,5;67,9;73,8;69,6;50;40;0,01;1960;#REF!;1;0,1;
Banque Al Wava Mauritanienne Islamique-BAMIS/2005;22;2005;Banque Al Wava Mauritanienne Islamique-BAMIS;121;0;ISB;1;0,369;0,127;0,759;52,681;27,746;0,296;6,759;42,887;;;46,492;3,984;3,753;;;4,989;4,888;6,396;1,125;0,015;0,053;93,632;4,539;33303,4;75,201;58,027;2,426;6,113;4,298;30,008;265,53;1;0,09;716,86;6,575;0,06;0,115;0,121;0,096;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,96;0;0,04;0,98;0;0,02;0,97;0;0,03;0,669;108,983;0,27;0,22;French;0;1;;0;;59,4;30;30;78,2;70,4;55;47;76,1;67;70;70;;1960;#REF!;1;;
Banque Al Wava Mauritanienne Islamique-BAMIS/2006;22;2006;Banque Al Wava Mauritanienne Islamique-BAMIS;121;0;ISB;1;0,282;0,107;0,775;57,363;31,124;0,294;6,889;43,695;;;42,397;3,262;4,759;;;5,89;4,249;6,043;1,165;0,015;0,052;105,971;4,663;40569,1;86,544;63,33;2,223;7,055;4,339;31,944;268,6;1;0,189;971,49;6,879;0,157;0,174;0,062;0,185;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,94;0,03;0,03;0,98;0;0,01;0,96;0,02;0,03;0,669;108,101;0,27;0,22;French;0;1;;0;;55,7;30;30;81,7;70;36;50,5;76,5;62,6;70;50;;1960;#REF!;1;0,18;
Banque Al Wava Mauritanienne Islamique-BAMIS/2007;22;2007;Banque Al Wava Mauritanienne Islamique-BAMIS;121;0;ISB;1;0,266;0,089;0,814;65,782;35,476;0,327;6,984;51,006;;;45,387;3,753;4,644;;;8,152;4,507;7,328;1,193;0,015;0,047;108,534;4,687;43598,5;91,611;63,281;3,002;9,345;6,84;44,508;258,59;1;0,016;1044,85;6,952;-0,01;0,185;0,073;0,046;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,89;0,08;0,03;0,96;0,03;0,01;0,92;0,08;0;0,669;119,445;0,27;0,22;French;0;1;;0;;53,6;30;30;75,5;57,4;37,5;50,6;73,9;71,4;60;50;;1960;#REF!;1;0,22;0,16
Banque Al Wava Mauritanienne Islamique-BAMIS/2008;22;2008;Banque Al Wava Mauritanienne Islamique-BAMIS;121;0;ISB;1;0,389;0,106;0,821;68,696;24,933;0,176;9,764;54,444;;;55,371;5,803;4,922;;;8,022;7,426;10,145;1,332;0,013;0,052;141,789;4,954;50831,9;105,3;98,061;2,936;9,353;6,47;44,08;238,2;1;0,035;1088,01;6,992;0,009;0,232;0,073;-0,05;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,84;0,13;0,03;0,92;0,06;0,02;0,85;0,12;0,02;0,669;65,905;0,27;0,22;French;0;1;;0;;55,2;30;31;75,4;66,3;39,9;51,9;77,1;70,2;60;50;;1960;#REF!;1;0,22;0,16
Banque Al Wava Mauritanienne Islamique-BAMIS/2009;22;2009;Banque Al Wava Mauritanienne Islamique-BAMIS;121;0;ISB;1;0,297;0,097;0,789;89,03;23,347;0,182;13,075;53,245;;-0,067;49,43;5,142;2,964;;;6,277;5,874;8,492;1,629;0,013;0,075;128,44;4,855;56415,8;97,552;86,291;3,961;7,907;7,057;46,173;262,37;1;-0,012;896,2;6,798;-0,036;0,278;0,022;-0,059;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,84;0,14;0,02;0,92;0,07;0,01;0,83;0,15;0,02;0,679;68,251;0,27;0,22;French;0;1;;0;;53,9;25;26;75,4;65,9;53,6;50,2;77,7;75,6;50;40;-0,001;1960;#REF!;1;0,22;0,14
Banque Al Wava Mauritanienne Islamique-BAMIS/2010;22;2010;Banque Al Wava Mauritanienne Islamique-BAMIS;121;0;ISB;1;0,329;0,122;0,642;82,06;36,004;0,247;14,73;53,751;;-0,39;50,634;5,031;2,956;;;3,909;6,711;7,519;2,017;0,021;0,096;145,907;4,983;66723,1;94,035;100,135;3,709;5,926;6,273;42,135;275,89;1;0,052;1044,55;6,951;0,027;;0,063;0,194;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,84;0,14;0,02;0,92;0,07;0,01;0,83;0,15;0,02;0,679;93,565;0,27;0,22;French;0;1;;0;;52;25;28;75,1;73,4;48,3;52,5;78;69,9;30;40;-0,007;1960;#REF!;1;0,22;0,14
Banque Mauritanienne pour le Commerce International/2005;22;2005;Banque Mauritanienne pour le Commerce International;122;0;CB;0;0,261;0,198;0,707;127,535;18,46;0,108;8,657;77,114;;;77,114;3,258;4,887;;367;5,436;5,528;7,365;1,929;0,02;0,174;171,181;5,143;71827,9;140,772;127,535;1,381;7,365;5,528;63,658;265,53;1;0,09;716,86;6,575;0,06;0,115;0,121;0,096;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,96;0;0,04;0,98;0;0,02;0,97;0;0,03;0,679;16,903;0,27;0,22;French;0;1;;0;;59,4;30;30;78,2;70,4;55;47;76,1;67;70;70;;1960;#REF!;1;;
Banque Mauritanienne pour le Commerce International/2006;22;2006;Banque Mauritanienne pour le Commerce International;122;0;CB;0;0,269;0,199;0,804;112,301;28,079;0,161;14,723;90,274;;;90,274;3,827;4,573;;;5,949;5,356;7,984;2,035;0,011;0,084;174,38;5,161;71654,7;130,045;112,301;2,285;7,984;5,356;39,771;268,6;1;0,189;971,49;6,879;0,157;0,174;0,062;0,185;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,94;0,03;0,03;0,98;0;0,01;0,96;0,02;0,03;0,679;22,739;0,27;0,22;French;0;1;;0;;55,7;30;30;81,7;70;36;50,5;76,5;62,6;70;50;;1960;#REF!;1;0,18;
Banque Mauritanienne pour le Commerce International/2007;22;2007;Banque Mauritanienne pour le Commerce International;122;0;CB;0;0,276;0,213;0,668;136,067;31,519;0,151;14,72;96,53;;4,23;96,53;3,82;5,463;;;5,454;6,342;7,881;2,426;0,002;0,014;209,127;5,343;80092,9;148,017;136,067;2,298;7,881;6,342;51,486;258,59;1;0,016;1044,85;6,952;-0,01;0,185;0,073;0,046;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,89;0,08;0,03;0,96;0,03;0,01;0,92;0,08;0;0,747;20,17;0,27;0,22;French;0;1;;0;;53,6;30;30;75,5;57,4;37,5;50,6;73,9;71,4;60;50;0,044;1960;#REF!;1;0,22;0,16
Banque Mauritanienne pour le Commerce International/2008;22;2008;Banque Mauritanienne pour le Commerce International;122;0;CB;0;0,27;0,223;0,629;164,116;41,749;0,167;19,582;112,522;;4,887;112,522;3,672;6,559;;337;4,861;7,17;8,635;3,774;0,002;0,013;250,784;5,525;83533,5;192,8;164,116;2,678;8,635;7,17;80,278;238,2;1;0,035;1088,01;6,992;0,009;0,232;0,073;-0,05;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,84;0,13;0,03;0,92;0,06;0,02;0,85;0,12;0,02;0,747;22,251;0,27;0,22;French;0;1;;0;;55,2;30;31;75,4;66,3;39,9;51,9;77,1;70,2;60;50;0,043;1960;#REF!;1;0,22;0,16
Banque Mauritanienne pour le Commerce International/2009;22;2009;Banque Mauritanienne pour le Commerce International;122;0;CB;0;0,262;0,224;0,537;189,567;40,373;0,144;17,773;119,192;;3,5;119,192;3,493;8,443;;376;5,019;8,002;8,833;3,815;0,002;0,014;280,833;5,638;96110,6;205,943;189,567;3,002;8,833;8,002;86,751;262,37;1;-0,012;896,2;6,798;-0,036;0,278;0,022;-0,059;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,84;0,14;0,02;0,92;0,07;0,01;0,83;0,15;0,02;0,747;19,269;0,27;0,22;French;0;1;;0;;53,9;25;26;75,4;65,9;53,6;50,2;77,7;75,6;50;40;0,029;1960;#REF!;1;0,22;0,14
Banque Mauritanienne pour le Commerce International/2010;22;2010;Banque Mauritanienne pour le Commerce International;122;0;CB;0;0,209;0,169;0,512;206,778;45,552;0,16;26,133;103,822;;6,23;103,822;3,662;10,669;;;5,946;8,321;9,732;3,786;0,002;0,015;285,078;5,653;78651,4;233,808;206,778;4,227;9,732;8,321;129,986;275,89;1;0,052;1044,55;6,951;0,027;;0,063;0,194;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,84;0,14;0,02;0,92;0,07;0,01;0,83;0,15;0,02;0,747;21,391;0,27;0,22;French;0;1;;0;;52;25;28;75,1;73,4;48,3;52,5;78;69,9;30;40;0,06;1960;#REF!;1;0,22;0,14
Banque Nationale de Mauritanie/2007;22;2007;Banque Nationale de Mauritanie;123;0;CB;0;0,432;0,367;0,48;142,355;47,093;0,177;7,504;131,949;;4,077;131,949;4,18;2,601;;;7,906;13,863;7,906;;0,017;0,096;266,066;5,584;96807,2;133,89;142,355;0,072;7,906;13,863;1,941;258,59;1;0,016;1044,85;6,952;-0,01;0,185;0,073;0,046;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,89;0,08;0,03;0,96;0,03;0,01;0,92;0,08;0;0,783;29,048;0,27;0,22;French;0;1;;0;;53,6;30;30;75,5;57,4;37,5;50,6;73,9;71,4;60;50;0,031;1960;#REF!;1;0,22;0,16
Banque Nationale de Mauritanie/2008;22;2008;Banque Nationale de Mauritanie;123;0;CB;0;0,836;0,634;0,27;163,687;54,958;0,174;8,592;219,963;0,261;10,073;162,953;8,605;2,89;;194;3,225;16,378;5,193;1,969;0,012;0,068;315,572;5,754;75170,4;164,949;163,687;0,059;5,193;16,378;1,996;238,2;1;0,035;1088,01;6,992;0,009;0,232;0,073;-0,05;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,84;0,13;0,03;0,92;0,06;0,02;0,85;0,12;0,02;0,783;27,9;0,27;0,22;French;0;1;;0;;55,2;30;31;75,4;66,3;39,9;51,9;77,1;70,2;60;50;0,046;1960;#REF!;1;0,22;0,16
Banque Nationale de Mauritanie/2009;22;2009;Banque Nationale de Mauritanie;123;0;CB;0;0,837;0,656;0,367;148,794;51,266;0,173;7,857;243,387;0,105;6,606;176,035;8,03;2,396;;194;3,055;12,062;5,303;2,249;0,008;0,045;296,918;5,693;84057,1;178,08;148,794;0,294;5,303;12,062;2,045;262,37;1;-0,012;896,2;6,798;-0,036;0,278;0,022;-0,059;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,84;0,14;0,02;0,92;0,07;0,01;0,83;0,15;0,02;0,741;27,066;0,27;0,22;French;0;1;;0;;53,9;25;26;75,4;65,9;53,6;50,2;77,7;75,6;50;40;0,027;1960;#REF!;1;0,22;0,14
Banque Nationale de Mauritanie/2010;22;2010;Banque Nationale de Mauritanie;123;0;CB;0;0,87;0,661;0,417;154,107;50,28;0,163;8,391;272,236;0,089;6,848;195,119;9,423;1,723;18;230;3,356;12,925;6,103;2,747;0,005;0,031;308,959;5,733;92094,5;197,064;154,107;0,1;6,103;12,925;1,945;275,89;1;0,052;1044,55;6,951;0,027;;0,063;0,194;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,84;0,14;0,02;0,92;0,07;0,01;0,83;0,15;0,02;0,741;25,161;0,27;0,22;French;0;1;;0;;52;25;28;75,1;73,4;48,3;52,5;78;69,9;30;40;0,025;1960;#REF!;1;0,22;0,14
Banque pour le Commerce et L'Industrie/2005;22;2005;Banque pour le Commerce et L'Industrie;124;0;CB;0;0,256;0,144;0,564;41,9;11,473;0,185;3,992;35,112;;0,754;32,737;1,921;4,421;;;2,376;2,559;3,934;1,559;0,028;0,153;61,982;4,127;20771,2;41,295;41,9;1,297;3,934;2,559;8,558;265,53;1;0,09;716,86;6,575;0,06;0,115;0,121;0,096;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,96;0;0,04;0,98;0;0,02;0,97;0;0,03;0,741;34,409;0,27;0,22;French;0;1;;0;;59,4;30;30;78,2;70,4;55;47;76,1;67;70;70;0,021;1960;#REF!;1;;
Banque pour le Commerce et L'Industrie/2006;22;2006;Banque pour le Commerce et L'Industrie;124;0;CB;0;0,31;0,154;0,527;55,409;12,635;0,164;7,19;38,019;;1,378;34,622;2,961;4,539;;;4,146;3,328;4,146;;0,025;0,147;76,873;4,342;27387,8;55,842;55,409;0,994;4,146;3,328;21,219;268,6;1;0,189;971,49;6,879;0,157;0,174;0,062;0,185;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,94;0,03;0,03;0,98;0;0,01;0,96;0,02;0,03;0,741;30,723;0,27;0,22;French;0;1;;0;;55,7;30;30;81,7;70;36;50,5;76,5;62,6;70;50;0,036;1960;#REF!;1;0,18;
Banque pour le Commerce et L'Industrie/2009;22;2009;Banque pour le Commerce et L'Industrie;124;0;CB;0;0,26;0,143;0,785;87,198;19,247;0,145;8,313;64,694;;;58,6;3,928;3,58;;;5,975;6,699;8,064;2,089;0,014;0,084;133,044;4,891;45345,8;101,49;109,572;1,373;8,064;6,699;42,89;262,37;1;-0,012;896,2;6,798;-0,036;0,278;0,022;-0,059;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,84;0,14;0,02;0,92;0,07;0,01;0,83;0,15;0,02;0,816;25,643;0,27;0,22;French;0;1;;0;;53,9;25;26;75,4;65,9;53,6;50,2;77,7;75,6;50;40;;1960;#REF!;1;0,22;0,14
Banque pour le Commerce et L'Industrie/2010;22;2010;Banque pour le Commerce et L'Industrie;124;0;CB;0;0,289;0,167;0,733;85,341;19,29;0,151;8,742;68,49;;;61,719;4,21;3,418;;;4,733;5,905;6,83;2,096;0,015;0,099;127,783;4,85;50260,1;86,424;103,956;1,575;6,83;5,905;24,705;275,89;1;0,052;1044,55;6,951;0,027;;0,063;0,194;5,625;3,438;8,264;1,667;8;5,938;5,625;4,583;4,375;5,279;6,042;3,036;8,453;0,833;7,222;6,042;5,278;5,476;4,643;5,225;0,84;0,14;0,02;0,92;0,07;0,01;0,83;0,15;0,02;0,816;26,815;0,27;0,22;French;0;1;;0;;52;25;28;75,1;73,4;48,3;52,5;78;69,9;30;40;;1960;#REF!;1;0,22;0,14
Bank One Limited/2005;23;2005;Bank One Limited;125;0;CB;0;0,113;0,112;0,996;147,846;18,609;0,109;10,879;97,714;;0,902;74,365;0,681;3,278;;;2,651;1,465;4,723;2,071;0,005;0,053;170,188;5,137;5355,1;142,167;147,846;10,91;4,723;1,465;67,802;29,5;1;0,012;5054,36;8,528;0,004;0,722;0,049;0,043;3;3,333;9,307;8,333;7,5;3,75;0;0;2,5;4,191;3,125;3,214;9,524;9,167;8,056;4,167;0;0;2,143;4,377;0,23;0,65;0,12;0,3;0,57;0,13;0,25;0,62;0,13;0,648;4,895;0,708;0,22;French;0;1;7,57;0;0,12;67,2;70;44;84,5;82;70;76,4;71,4;53,4;50;70;0,009;1968;#REF!;5;0,17;
Bank One Limited/2006;23;2006;Bank One Limited;125;0;CB;0;0,106;0,106;2,414;118,727;12,798;0,095;10,616;78,072;;2,091;59,486;0,262;1,268;;;2,618;0,59;4,485;1,867;-0,031;-0,3;134,404;4,901;4479,1;107,604;118,727;8,474;4,485;0,59;48,117;31,71;1;0,039;5194,48;8,555;0,032;0,716;0,089;0,071;3;3,333;9,307;8,333;7,5;3,75;0;0;2,5;4,191;3,125;3,214;9,524;9,167;8,056;4,167;0;0;2,143;4,377;0,19;0,71;0,1;0,27;0,61;0,12;0,19;0,71;0,1;0,648;2,755;0,708;0,22;French;0;1;7,41;0;0,12;67,4;70;41;81,7;79,1;74,7;76,8;72,1;59;70;50;0,027;1968;#REF!;5;0,17;
Bank One Limited/2007;23;2007;Bank One Limited;125;0;CB;0;0,088;0,088;1,893;131,895;6,585;0,046;10,277;65,39;;0,291;52,15;0,374;1,475;;;2,453;0,862;4,426;1,974;-0,046;-0,652;141,81;4,954;4587,7;119,216;131,895;9,51;4,426;0,862;67,067;31,31;1;0,059;6182,2;8,729;0,052;0,687;0,088;0,117;3;3,333;9,307;8,333;7,5;3,75;0;0;2,5;4,191;3,125;3,214;9,524;9,167;8,056;4,167;0;0;2,143;4,377;0,19;0,72;0,09;0,23;0,66;0,11;0,2;0,7;0,1;0,648;0,023;0,708;0,22;French;0;1;7,95;0;0,12;69,4;60;42;81,3;79,7;73,3;71,7;75,8;80;70;60;0,004;1968;#REF!;5;0,17;
Bank One Limited/2008;23;2008;Bank One Limited;125;0;CB;0;0,123;0,122;2,401;215,764;18,859;0,079;11,208;153,387;0,123;1,019;138,187;0,829;1,033;;;4,302;2,597;8,716;4,414;-0,014;-0,217;239,593;5,479;8741,6;186,551;215,764;19,833;8,716;2,597;48,364;28,45;1;0,055;7599,98;8,936;0,048;0,768;0,097;0,065;3;3,333;9,307;8,333;7,5;3,75;0;0;2,5;4,191;3,125;3,214;9,524;9,167;8,056;4,167;0;0;2,143;4,377;0,2;0,7;0,1;0,24;0,66;0,1;0,22;0,67;0,11;0,648;2,757;0,708;0,22;French;0;1;8,04;0;0,12;72,6;60;51;92,1;81,4;82;72,9;75,7;80,6;70;60;0,007;1968;#REF!;5;0,17;
Bank One Limited/2009;23;2009;Bank One Limited;125;0;CB;0;0,201;0,191;0,885;296,607;20,094;0,061;10,257;187,902;0,078;-0,335;175,367;1,984;4,146;;;3,091;4,459;7,616;4,524;0,004;0,065;329,248;5,797;13059,4;214,563;302,252;14,856;7,616;4,459;39,196;31,96;1;0,03;6921,59;8,842;0,025;0,83;0,025;-0,002;3;3,333;9,307;8,333;7,5;3,75;0;0;2,5;4,191;3,125;3,214;9,524;9,167;8,056;4,167;0;0;2,143;4,377;0,22;0,67;0,11;0,27;0,62;0,11;0,24;0,64;0,12;0,648;2,802;0,708;0,22;mixed;;;7,93;0;0,12;74,3;60;47;92,2;80,8;83,3;71,5;71,1;86,8;80;70;-0,002;1968;#REF!;5;0,17;
Bank One Limited/2010;23;2010;Bank One Limited;125;0;CB;0;0,283;0,268;0,641;409,256;26,205;0,058;10,463;269,029;0,052;0,858;258,761;3,073;9,492;;;3,843;5,272;9,469;5,626;0,014;0,232;453,106;6,116;17029,6;308,202;418,592;14,264;9,469;5,272;49,441;30,78;1;0,041;7583,89;8,934;0,037;0,825;0,029;0,018;3;3,333;9,307;8,333;7,5;3,75;0;0;2,5;4,191;3,125;3,214;9,524;9,167;8,056;4,167;0;0;2,143;4,377;0,22;0,67;0,11;0,27;0,62;0,11;0,24;0,64;0,12;0,648;3,063;0,708;0,22;mixed;;;7,93;0;0,12;76,3;60;55;92,5;83,4;82,2;78,5;71,2;85,6;85;70;0,003;1968;#REF!;5;0,19;
