DMU;ID ;year;Bank;Bank code;Listed;Type;Islamic;ES;ES2;Cost2Inc;DepSTFund;Equity;Eq2Assets;FixAssets;GLoans;NPL2GL;LoanLP;Loans;NetFeeCom;NetIntRev;Branches;Employees;OthOpExp;OthOpInc;Overhead;PerExp;ROAA;ROAE;Assets;LnAssets;BusinessVol;EarnAssets;Funding;IntExp;NonIntExp;NonIntOpInc;OthEarnAssets;ExRate;Unit;GDPG;GDPC ;LnGDPC;GDPGC;PCDGDP;ICP;IGDPD;ETU;PAU;TRU;EXU;CSU;LDU;PCU;FSU;SQU;SCU;ETW;PAW;TRW;EXW;CSW;LDW;PCW;FSW;SQW;SCW;DomPrivOwnAssets;ForOwnAssets;GovOwnAssets;DomPrivOwnLoans;ForOwnLoans;GovOwnLoans;DomPrivOwnDeposits;ForOwnDeposits;GovOwnDeposits;BankCon;BankZsc;avelf;lat_abst;Legor;legor_uk;legor_fr;EFI;PP;CI;EconFree;PR;FC;FisF;GS;BF;LF;MF;TF;IF;FinF;LoanLossRatio;IndepYear;Indep;Religion;W-House;W-Senate
Standard Chartered Bank Ghana Limited/2005;14;2005;Standard Chartered Bank Ghana Limited;80;1;CB;0;0,477;0,178;0,407;461,116;62,012;0,114;11,917;315,355;;-0,331;302,997;18,206;59,033;;;19,861;30,123;36,302;16,441;0,071;0,621;545,858;6,302;792,6;450,413;461,116;10,813;36,302;30,123;240,434;0,91;1;0,059;495,4;6,205;0,034;0,135;0,151;0,15;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,49;0,51;0;0,5;0,5;0;0,47;0,53;0;0,383;16,225;0,706;0,09;English;1;0;6,49;1;0,16;56,5;50;33;77,4;79,6;70;50,2;58,8;66;50;30;-0,001;1957;#REF!;3;0,11;
Standard Chartered Bank Ghana Limited/2006;14;2006;Standard Chartered Bank Ghana Limited;80;1;CB;0;0,393;0,113;0,468;587,701;87,948;0,113;13,203;271,264;0,05;-1,528;261,77;20,405;62,96;;;23,024;29,68;43,319;20,296;0,05;0,46;775,818;6,654;849,5;645,642;625,892;19,968;43,319;29,68;383,872;0,92;1;0,064;919,61;6,824;0,039;0,097;0,109;0,808;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,52;0,48;0;0,56;0,44;0;0,5;0,5;0;0,383;14,407;0,706;0,09;English;1;0;6,99;1;0,16;55,6;50;36;75,6;74,8;50;49,5;64,5;55,4;50;50;-0,006;1957;#REF!;3;0,11;
Standard Chartered Bank Ghana Limited/2007;14;2007;Standard Chartered Bank Ghana Limited;80;1;CB;0;0,365;0,126;0,515;686,984;94,52;0,109;12,51;318,204;0,01;1,925;306,977;20,422;68,538;;;26,517;30,58;51,003;24,485;0,043;0,391;864,691;6,762;911,2;649,881;686,984;32,826;51,003;30,58;342,904;0,94;1;0,065;1084,54;6,989;0,039;0,116;0,107;0,163;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,49;0,51;0;0,54;0,46;0;0,48;0,52;0;0,383;13,457;0,706;0,09;English;1;0;7;1;0,16;57,6;50;40;82,5;66,7;54,9;48,4;70,1;63;50;50;0,006;1957;#REF!;3;0,11;
Standard Chartered Bank Ghana Limited/2008;14;2008;Standard Chartered Bank Ghana Limited;80;1;CB;0;0,413;0,22;0,611;711,154;84,605;0,091;12,289;446,752;0,049;1,607;435,219;21,553;72,127;19;760;35,733;38,568;67,684;31,951;0,037;0,373;931,032;6,836;1067,8;805,779;738,284;32,235;67,684;38,568;370,56;1,06;1;0,084;1226,22;7,112;0,059;0,136;0,165;0,202;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,49;0,51;0;0,54;0,46;0;0,45;0,55;0;0,396;11,271;0,706;0,09;English;1;0;6,93;1;0,16;57;50;33;83,7;71,5;53,4;47,6;68;63;50;50;0,004;1957;#REF!;3;0,08;
Standard Chartered Bank Ghana Limited/2009;14;2009;Standard Chartered Bank Ghana Limited;80;1;CB;0;0,466;0,116;0,459;606,332;113,288;0,114;11,073;308,631;0,112;10,718;289,963;26,405;84,753;21;800;31,374;44,79;59,412;28,038;0,048;0,462;996,735;6,904;1538,8;723,524;795,003;25,625;59,412;44,79;433,56;1,41;1;0,04;1090,42;6,994;0,015;0,148;0,193;0,166;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,51;0,49;0;0,46;0,54;0;0,55;0,45;0;0,396;14,259;0,706;0,09;English;1;0;7,13;1;0,16;58,1;50;37;83,2;65,7;56,7;45,3;69,6;63;50;60;0,035;1957;#REF!;3;0,08;
Standard Chartered Bank Ghana Limited/2010;14;2010;Standard Chartered Bank Ghana Limited;80;1;CB;0;0,413;0,116;0,472;774,34;136,965;0,118;13,557;344,997;0,15;9,504;326,479;29,629;106,777;21;986;33,403;45,632;71,976;38,574;0,047;0,406;1165,528;7,061;1878,4;985,238;940,235;42,767;71,976;45,632;658,759;1,43;1;0,08;1319,07;7,185;0,055;0,137;0,107;0,165;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,51;0,49;0;0,46;0,54;0;0,55;0,45;0;0,396;14,494;0,706;0,09;English;1;0;7,09;1;0,16;60,2;50;39;83,5;58,9;56,8;57,4;65,9;65,3;65;60;0,028;1957;#REF!;3;0,08;
Unibank (Ghana) Ltd/2007;14;2007;Unibank (Ghana) Ltd;81;0;CB;0;0,167;0,614;0,895;0,013;0,003;0,178;0,003;0,01;;0;0,009;0;0,001;;183;0,001;0,001;0,002;0,001;0,008;0,046;0,018;-4,041;77,1;0,012;0,014;0,001;0,002;0,001;0,003;4197,75;1;0,065;1084,54;6,989;0,039;0,116;0,107;0,163;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,49;0,51;0;0,54;0,46;0;0,48;0,52;0;0,396;51,433;0,706;0,09;English;1;0;7;1;0,16;57,6;50;40;82,5;66,7;54,9;48,4;70,1;63;50;50;0,017;1957;#REF!;3;0,11;
Unibank (Ghana) Ltd/2008;14;2008;Unibank (Ghana) Ltd;81;0;CB;0;0,175;0,421;0,858;0,02;0,004;0,149;0,004;0,014;;0;0,014;0,001;0,002;;263;0,002;0,001;0,003;0,001;0,016;0,098;0,025;-3,675;121,8;0,017;0,021;0,001;0,003;0,001;0,002;4601,69;1;0,084;1226,22;7,112;0,059;0,136;0,165;0,202;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,49;0,51;0;0,54;0,46;0;0,45;0,55;0;0,396;45,706;0,706;0,09;English;1;0;6,93;1;0,16;57;50;33;83,7;71,5;53,4;47,6;68;63;50;50;0,005;1957;#REF!;3;0,08;
Unibank (Ghana) Ltd/2009;14;2009;Unibank (Ghana) Ltd;81;0;CB;0;0,146;0,243;0,884;0,039;0,004;0,091;0,004;0,023;;0;0,023;0,001;0,003;;334;0,002;0,002;0,005;0,002;0,015;0,134;0,046;-3,083;226,2;0,033;0,04;0,004;0,005;0,002;0,01;4801,08;1;0,04;1090,42;6,994;0,015;0,148;0,193;0,166;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,51;0,49;0;0,46;0,54;0;0,55;0,45;0;0,396;29,3;0,706;0,09;English;1;0;7,13;1;0,16;58,1;50;37;83,2;65,7;56,7;45,3;69,6;63;50;60;-0,003;1957;#REF!;3;0,08;
Unibank (Ghana) Ltd/2010;14;2010;Unibank (Ghana) Ltd;81;0;CB;0;0,167;0,216;0,836;0,056;0,007;0,103;0,005;0,039;0,027;0;0,039;0,002;0,004;;385;0,002;0,002;0,005;0,002;0,015;0,156;0,069;-2,678;410,1;0,051;0,059;0,005;0,005;0,002;0,013;5726,07;1;0,08;1319,07;7,185;0,055;0,137;0,107;0,165;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,51;0,49;0;0,46;0,54;0;0,55;0,45;0;0,396;32,7;0,706;0,09;English;1;0;7,09;1;0,16;60,2;50;39;83,5;58,9;56,8;57,4;65,9;65,3;65;60;0,002;1957;#REF!;3;0,08;
United Bank For Africa (Ghana) Limited/2007;14;2007;United Bank For Africa (Ghana) Limited;82;0;CB;0;0,212;0,526;0,973;0,019;0,001;0,065;0,001;0,008;;0;0,007;0,001;0,001;;;0,002;0,001;0,003;0,001;-0,017;-0,262;0,023;-3,793;98,8;0,018;0,02;0,001;0,003;0,001;0,01;4197,75;1;0,065;1084,54;6,989;0,039;0,116;0,107;0,163;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,49;0,51;0;0,54;0,46;0;0,48;0,52;0;0,396;1,581;0,706;0,09;English;1;0;7;1;0,16;57,6;50;40;82,5;66,7;54,9;48,4;70,1;63;50;50;0,058;1957;#REF!;3;0,11;
